YLR331C	Jumonji Interacting Protein
YGR199W	dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase
YGR200C	RNA polymerase II Elongator subunit
YGR201C	Hypothetical ORF
YGR202C	cholinephosphate cytidylyltransferase|phosphorylcholine transferase
YGR203W	Similar to Hs CDC25 and Sc ACR2
YGR204W	C1-tetrahydrofolate synthase
YGR205W	Hypothetical ORF
YGR206W	Hypothetical ORF
YGR207C	Hypothetical ORF
YGR208W	phosphoserine phosphatase
YGR164W	Hypothetical ORF
YGR165W	Mitochondrial Ribosome Protein, Small Subunit
YGR166W	Involved in biosynthetic pathway for cell wall beta-glucans
YGR167W	clathrin light chain
YGR168C	Hypothetical ORF
YGR169C	RNA:Psi-synthase
YGR170W	phosphatidylserine decarboxylase
YGR171C	methionine-tRNA ligase
YGR172C	Golgi integral membrane protein; binds to the transport GTPases Ypt1p and Ypt31p
YGR173W	Genetically interacts with ribosomal genes
YGR174C	Essential for the expression and activity of ubiquinol-cytochrome c reductase
YGR175C	squalene monooxygenase
YGR176W	Hypothetical ORF
YGR177C	alcohol acetyltransferase
YGR178C	Poly(A)-binding protein binding protein
YGR179C	Outer Kinetochore Protein
YGR180C	ribonucleotide reductase, small (R2) subunit
YGR181W	mitochondrial protein import machinery subunit
YGR182C	Hypothetical ORF
YGR183C	ubiquinol cytochrome c oxidoreductase complex 7.3 kDa subunit 9
YGR184C	ubiquitin-protein ligase
YGR185C	tyrosine-tRNA ligase
YGR186W	transcription factor TFIIF large subunit
YGR142W	Gene/protein whose expression is elevated in a btn1 minus/Btn1p lacking yeast strain.
YGR143W	highly homologous to Kre6p|type II membrane protein (putative)
YGR144W	biosynthetic pathway component producing the thiazole precursor of thiamine
YGR145W	Essential Nucleolar Protein 2
YGR146C	Hypothetical ORF
YGR147C	N alpha-acetyltransferase
YGR148C	ribosomal protein L24B (rp29) (YL21) (L30B)
YGR149W	Hypothetical ORF
YGR150C	Hypothetical ORF
YGR151C	Hypothetical ORF
YGR151C	Hypothetical ORF
YGR152C	Gtp-binding protein of the ras superfamily involved in bud site selection
YGR153W	Hypothetical ORF
YGR154C	Hypothetical ORF
YGR155W	cystathionine beta-synthase
YGR156W	Pta1p Interacting protein
YGR157W	phosphatidyl-ethanolamine N-methyltransferase
YGR158C	Involved in mRNA transport
YGR159C	nuclear localization sequence binding protein
YGR160W	Hypothetical ORF
YGR161C	Hypothetical ORF
YGR162W	150 kDa subunit|Tif4632p and mammalian p220 homolog|mRNA cap binding protein eIF-4F
YGR163W	similar to Gtr1|small GTPase (putative)
YGR120C	Conserved Oligomeric Golgi complex 2 Secretion deficient
YGR121C	ammonia permease
YGR122W	Hypothetical ORF
YGR123C	serine/threonine phosphatase
YGR124W	asparagine synthetase
YGR125W	Hypothetical ORF
YGR126W	Hypothetical ORF
YGR127W	Hypothetical ORF
YGR128C	U3 snoRNP protein
YGR129W	SYnthetic lethal with cdcForty
YGR130C	Hypothetical ORF
YGR131W	Hypothetical ORF
YGR132C	Phb2p homolog|mitochondrial protein
YGR133W	ubiquitin-conjugating protein family
YGR134W	CCR4 Associated Factor 130 kDa
YGR135W	proteasome component Y13
YGR136W	LAs17 Binding protein
YGR136W	LAs17 Binding protein
YGR137W	Hypothetical ORF
YGR138C	Polyamine transport protein
YGR139W	Hypothetical ORF
YGR140W	centromere binding factor CBF3 110 kDa subunit
YGR141W	
YGR098C	separase
YGR099W	telomere binding protein
YGR100W	GTPase activating protein (GAP) for Ypt6
YGR101W	rhomboid protease
YGR102C	Hypothetical ORF
YGR103W	Nucleolar protein present in purified ribosome assembly intermediates. Required for rRNA processing; required for essential steps leading to synthesis of 60S ribosomal subunits.
YGR104C	RNA polymerase II holoenzyme/mediator subunit
YGR105W	Protein involved in vacuolar H-ATPase assembly or function. Required for the biogenesis of a functional vacuolar ATPase (V-ATPase), but not part of the final enzyme complex.
YGR106C	Hypothetical ORF
YGR107W	Hypothetical ORF
YGR108W	B-type cyclin
YGR109C	B-type cyclin
YGR110W	Hypothetical ORF
YGR111W	Hypothetical ORF
YGR112W	similar to the mammalian SURF-1 gene
YGR113W	Duo1 And Mps1 interacting. Localized to intranuclear spindles and spindle pole bodies. Key Ipl1p target for regulating kinetochore-microtubule attachments.
YGR114C	Protein required for cell viability
YGR114C	Protein required for cell viability
YGR115C	Protein required for cell viability
YGR116W	interacts with histones, primarily histone H3, possesses nucleosome assembly activity|transcriptional regulator
YGR117C	Hypothetical ORF
YGR118W	ribosomal protein S23A (S28A) (rp37) (YS14)
YGR119C	nuclear pore protein (nucleoporin)
YGR075C	RNA splicing factor
YGR076C	ribosomal protein (YmL25)
YGR077C	peroxisome associated protein containing a PTS1 signal
YGR078C	bovine NABC complex component homolog|non-native actin binding complex polypeptide 3
YGR079W	Hypothetical ORF
YGR080W	twinfilin A, an actin monomer sequestering protein
YGR081C	Hypothetical ORF
YGR082W	20 kDa mitochondrial outer membrane protein import receptor
YGR083C	71 kDa subunit (delta)|translation initiation factor eIF2B subunit|translational repressor of GCN4 protein
YGR084C	35 kDa mitochondrial ribosomal small subunit protein
YGR085C	ribosomal protein L11B (L16B) (rp39B) (YL22)
YGR086C	Phosphorylation Inhibited by Long chain base
YGR087C	pyruvate decarboxylase isozyme
YGR088W	catalase T
YGR089W	putative partner of Rpb8p
YGR090W	U3 protein
YGR091W	pre-mRNA splicing protein
YGR092W	Kinase required for late nuclear division. Cdc15 promotes the exit from mitosis by directly switching on the kinase activity of Dbf2.
YGR093W	Hypothetical ORF
YGR094W	valine-tRNA ligase
YGR095C	3'->5' exoribonuclease
YGR096W	mitochondrial thiamine pyrophosphate transporter
YGR097W	transcriptional activator of the SKN7 mediated 'two-component' regulatory system
YGR053C	Hypothetical ORF
YGR054W	yeast homolog of mammalian eIF2A
YGR055W	high affinity methionine permease
YGR056W	RSC complex member
YGR057C	Required for amino acid permease transport from the Golgi to the cell surface
YGR058W	Hypothetical ORF
YGR059W	a sporulation-specific homologue of the yeast CDC3/10/11/12 family of bud neck microfilament genes; regulated by ABFI
YGR060W	C-4 sterol methyl oxidase
YGR061C	5'-phosphoribosylformyl glycinamidine synthetase
YGR062C	Mitochondrial inner membrane protein, required for export of the Cox2p C terminus from the mitochondrial matrix to the intermembrane space
YGR063C	transcriptional regulator|zinc finger protein
YGR064W	Hypothetical ORF
YGR065C	H+-biotin symporter
YGR066C	Hypothetical ORF
YGR067C	Hypothetical ORF; has similarity to Adr1p DNA-binding domain
YGR068C	Hypothetical ORF
YGR069W	Hypothetical ORF
YGR070W	Gdp-GTP Exchange Protein (GEP) for the Rho1p Small GTP-binding Protein
YGR071C	Hypothetical ORF
YGR072W	factor stimulating decay of mRNAs containing premature stop codons; acts with Nmd2p and Nam7p
YGR073C	Protein required for cell viability
YGR074W	Homolog of human core snRNP protein D1, involved in snRNA maturation
YGR028W	40 kDa membrane-spanning ATPase
YGR030C	RNase P integral subunit|subunit of RNase MRP (putative)
YGR031W	Hypothetical ORF
YGR032W	1,3-beta-D-glucan synthase catalytic component
YGR033C	Hypothetical ORF
YGR035C	Hypothetical ORF
YGR036C	contains 3 short stretches of amino acids that are characteristic for a wide variety of phosphatases, including lipid phosphatases and a protein phosphatase
YGR037C	acyl-CoA-binding protein (ACBP)/diazepam binding inhibitor (DBI)/endozepine (EP)
YGR038W	Product of gene unknown
YGR039W	Hypothetical ORF
YGR040W	MAP kinase|involved in pheromone signal transduction
YGR041W	among a group of genes whose products are necessary for bud-site selection; likely involvement in positioning the proximal pole signal
YGR042W	Hypothetical ORF
YGR043C	Hypothetical ORF
YGR044C	zinc finger protein|negative regulator of meiosis; directly repressed by a1-alpha 2 regulator
YGR045C	Hypothetical ORF
YGR046W	Protein required for cell viability
YGR047C	131 kDa|transcription factor tau (TFIIIC) subunit
YGR048W	Ubiquitin fusion degradation protein
YGR049W	Protein that suppresses ts allele of CDC4 when overexpressed
YGR050C	Hypothetical ORF
YGR051C	Hypothetical ORF
YGR052W	Hypothetical ORF
YGR007W	choline phosphate cytidylyltransferase (also called phosphoethanolamine cytidylyltransferase or phosphocholine cytidylyltransferase)
YGR008C	ATPase stabilizing factor
YGR009C	t-SNARE (putative)
YGR010W	nicotinamide/nicotinic acid mononucleotide adenylyltransferase
YGR010W	nicotinamide/nicotinic acid mononucleotide adenylyltransferase
YGR011W	Hypothetical ORF
YGR012W	Hypothetical ORF
YGR013W	U1 snRNP protein
YGR014W	integral membrane protein (putative)
YGR015C	Hypothetical ORF
YGR016W	Hypothetical ORF
YGR017W	Hypothetical ORF
YGR018C	Hypothetical ORF
YGR019W	gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase)
YGR020C	vacuolar ATPase V1 domain subunit F (14 kDa)
YGR021W	Hypothetical ORF
YGR022C	Hypothetical ORF
YGR023W	acts in concert with Mid2p to transduce cell wall stress signals
YGR024C	Protein required for cell viability
YGR025W	Hypothetical ORF
YGR026W	Hypothetical ORF
YGR027C	ribosomal protein S25A (S31A) (rp45) (YS23)
YGR027C	ribosomal protein S25A (S31A) (rp45) (YS23)
YGL015C	Hypothetical ORF
YGL014W	member of the PUF protein family
YGL013C	zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type
YGL012W	sterol C-24 reductase
YGL011C	proteasome subunit YC7alpha/Y8 (protease yscE subunit 7)
YGL010W	Hypothetical ORF
YGL009C	isopropylmalate isomerase
YGL008C	plasma membrane H+-ATPase
YGL007W	Hypothetical ORF
YGL006W	Ca2+ ATPase (putative)
YGL005C	Conserved Oligomeric Golgi complex 7 Complexed with Cog8p
YGL004C	Hypothetical ORF
YGL003C	required for Clb2 and Ase1 degradation
YGL002W	p24 protein involved in membrane trafficking
YGL001C	C-3 sterol dehydrogenase
YGR001C	Hypothetical ORF
YGR001C	Hypothetical ORF
YGR002C	Protein required for cell viability
YGR003W	Cullin family member with sequence similarity to human CUL3; subunit of a complex with ubiquitin ligase activity; binds HRT1 and is modified by the ubiquitin like protein, RUB1
YGR004W	Hypothetical ORF
YGR005C	transcription initiation factor TFIIF middle subunit
YGR006W	RNA splicing factor|U5 snRNP protein
YGL038C	alpha-1,6-mannosyltransferase
YGL037C	nicotinamidase|pyrazinamidase
YGL036W	Mtf1 Two Hybrid Clone 2
YGL035C	C2H2 zinc finger protein that resembles the mammalian Egr and Wilms tumour proteins
YGL034C	Hypothetical ORF
YGL033W	meiosis-specific gene required for the pairing of similar chromosomes
YGL032C	a-agglutinin adhesion subunit
YGL031C	ribosomal protein L24A (rp29) (YL21) (L30A)
YGL030W	ribosomal protein L30 (L32) (rp73) (YL38) large subunit
YGL029W	coiled-coil protein
YGL028C	glucanase
YGL027C	glucosidase I
YGL026C	tryptophan synthetase
YGL025C	Probable transcription factor, polyglutamine domain protein
YGL024W	Hypothetical ORF
YGL023C	Phosphatidylinositol 3-phosphate binding
YGL022W	integral ER membrane protein|oligosaccharyltransferase complex subunit (putative)
YGL021W	haspin
YGL020C	Spore Wall Formation. Mitochondrial Distribution and Morphology
YGL019W	protein kinase CK2 beta subunit
YGL018C	E. coli Hsc20 co-chaperone protein homolog|J-protein co-chaperone family 20 kDa
YGL017W	arginyl-tRNA-protein transferase
YGL016W	karyopherin beta family member
YGL060W	35% identity with Ybp1p, which is required for the oxidative stress response to peroxides via the the Yap1p transcription factor
YGL059W	Hypothetical ORF
YGL058W	ubiquitin-conjugating enzyme
YGL057C	Hypothetical ORF
YGL056C	homolog of pombe SDS23; localizes to spindle pole body
YGL055W	delta-9-fatty acid desaturase
YGL054C	14 kDa protein found on ER-derived vesicles
YGL053W	pheromone-regulated membrane protein
YGL052W	Hypothetical ORF
YGL051W	protein with COPI and COPII bindng motifs
YGL050W	Hypothetical ORF
YGL049C	150 kDa|eIF-4F mRNA cap-binding complex subunit|eIF-4G homolog
YGL048C	ATPase
YGL047W	Protein required for cell viability
YGL046W	
YGL045W	Regulator of IME2 (RIM) Involved in proteolytic processing of Rim1p
YGL044C	cleavage and polyadenylation factor CF I component involved in pre-mRNA 3'-end processing
YGL043W	RNA polymerase II elongation factor|transcription elongation factor|Transcription elongation factor S-II (TFIIS)
YGL042C	Hypothetical ORF
YGL041C	Hypothetical ORF
YGL040C	delta-aminolevulinate dehydratase (porphobilinogen synthase)
YGL039W	Hypothetical ORF
YGL082W	Hypothetical ORF
YGL081W	Hypothetical ORF
YGL080W	Hypothetical ORF
YGL079W	Hypothetical ORF
YGL078C	ATP dependent RNA helicase|dead/deah box protein CA3
YGL077C	transporter (permease) for choline and nitrogen mustard; share homology with UGA4
YGL076C	ribosomal protein L7A (L6A) (rp11) (YL8)
YGL076C	ribosomal protein L7A (L6A) (rp11) (YL8)
YGL075C	Monopolar spindle two, encodes a membrane protein localized at the nuclear envelope and the spindle pole body throughout the cell cycle. The protein is approximately 45 kDa, and contains a coiled-coil motif and a hydrophobic domain.
YGL074C	Protein required for cell viability
YGL073W	heat shock transcription factor
YGL072C	Hypothetical ORF
YGL071W	binds the consensus site PyPuCACCCPu
YGL070C	RNA polymerase II core subunit
YGL069C	Protein required for cell viability
YGL068W	Protein required for cell viability
YGL067W	NADH pyrophosphatase 1
YGL066W	Probable 73KkDa Subunit of SAGA histone acetyltransferase complex
YGL065C	glycosyltransferase
YGL064C	mitochondrial DEAD box RNA helicase
YGL063W	pseudouridine synthase
YGL062W	pyruvate carboxylase
YGL061C	Death Upon Overexpression
YGL105W	associated with tRNA and amino acyl-tRNA synthetases; has affinity for quadruplex nucleic acids
YGL104C	
YGL103W	ribosomal protein L28 (L29) (rp44) (YL24)
YGL102C	Protein required for cell viability
YGL101W	Hypothetical ORF
YGL100W	nuclear pore complex subunit
YGL099W	Killer toxin REsistant
YGL098W	Use1p is a SNARE and forms a complex with the SNAREs Sec22p, Sec20p and Ufe1p. The protein is localized to the ER and use1 mutants show defects in retrograde traffic from the Golgi to the ER
YGL097W	pheromone response pathway suppressor
YGL096W	Target of SBF
YGL095C	Protein of the Sec1p family essential for vacuolar protein sorting; required for the function of both Pep12p and the early endosome/late Golgi SNARE Tlg2p .
YGL094C	poly(A) ribonuclease 135 kDa subunit
YGL093W	spindle pole component
YGL092W	nuclear pore complex subunit
YGL091C	35 kDa nucleotide binding protein
YGL090W	Ligase Interacting Factor 1; physically interacts with DNA ligase 4 protein (Lig4p)
YGL089C	alpha mating factor
YGL088W	Hypothetical ORF
YGL087C	Member of error-free postreplication DNA repair pathway
YGL086W	coiled-coil protein involved in spindle-assembly checkpoint
YGL085W	Hypothetical ORF
YGL084C	glycerol transporter (putative)
YGL083W	Suppressor of GTPase mutant
YGL127C	Soh1p has limited sequence similarity to RNA polymerases and interacts with a DNA repair protein, Rad5p, in a two-hybrid system assay; may provide a link between recombination in direct repeats and transcription
YGL126W	Required for inositol prototrophy
YGL125W	methylenetetrahydrofolate reductase (mthfr) (putative)
YGL124C	Product of gene unknown
YGL123W	ribosomal protein S2 (S4) (rp12) (YS5)
YGL122C	polyadenylated RNA binding protein
YGL121C	Heterotrimeric G protein gamma subunit mimic
YGL120C	RNA helicase
YGL119W	multicopy suppressor of a cytochrome b mRNA translation defect, essential for the electron transfer in the bc1 complex
YGL118C	Hypothetical ORF
YGL117W	Hypothetical ORF
YGL116W	anaphase promoting complex (APC) subunit
YGL115W	associates with Snf1p
YGL114W	Hypothetical ORF
YGL113W	synthetic lethality with dpb11-1; Sld3p interacts with Cdc45 and is required for initiation of DNA replication.
YGL112C	TATA-binding protein-associated-factor
YGL111W	ribosome biogenesis
YGL110C	Contains one CUE domain which is the ubiquitin-binding domain
YGL109W	Hypothetical ORF
YGL108C	Hypothetical ORF
YGL107C	Required for Meiotic nuclear Division
YGL106W	myosin Myo2p light chain
YGL153W	Peroxisomal peripheral membrane protein (peroxin) involved in import of peroxisomal matrix proteins
YGL151W	Negative regulator of URS2 of the HO promoter
YGL150C	Shows similarity to the Snf2p family of DNA-dependent ATPases
YGL149W	Hypothetical ORF
YGL148W	chorismate synthase
YGL147C	ribosomal protein L9A (L8A) (rp24) (YL11)
YGL146C	Hypothetical ORF
YGL145W	transport protein that interacts with Sec20p; required for protein transport from the endoplasmic reticulum to the golgi apparatus
YGL144C	Hypothetical ORF
YGL143C	mitochondrial polypeptide chain release factor
YGL142C	alpha 1,2 mannosyltransferase (putative)
YGL141W	ubiquitin ligase (E3)
YGL140C	Hypothetical ORF
YGL139W	Hypothetical ORF
YGL138C	Hypothetical ORF
YGL137W	yeast coatomer beta'-subunit
YGL136C	2'O-ribose methyltransferase
YGL134W	PHO85 cyclin
YGL133W	Imitation switch Two Complex 1
YGL132W	Hypothetical ORF
